,Source Zipcode,NAICS Code Description,Counts
667,94418,Real Estate and Rental and Leasing Services,1
668,94501,Private Education and Health Services,1
669,94503,Multiple,1
670,94506,Multiple,1
671,94507,Real Estate and Rental and Leasing Services,1
672,94511,Food Services,1
673,94518,Construction,2
674,94536,Multiple,1
675,94546,Retail Trade,1
676,94549,Real Estate and Rental and Leasing Services,1
677,94556,Retail Trade,1
678,94564,"Arts, Entertainment, and Recreation",1
679,94565,Private Education and Health Services,1
680,94587,Food Services,1
681,94596,"Professional, Scientific, and Technical Services",1
682,94607,"Professional, Scientific, and Technical Services",1
683,94608,Financial Services,1
684,94608,"Professional, Scientific, and Technical Services",1
685,94609,Private Education and Health Services,1
686,94610,"Arts, Entertainment, and Recreation",1
687,94610,Food Services,1
688,94610,"Professional, Scientific, and Technical Services",1
689,94611,Food Services,1
690,94611,"Professional, Scientific, and Technical Services",2
691,94618,"Professional, Scientific, and Technical Services",1
692,94619,Food Services,1
693,94704,Food Services,1
694,94704,Private Education and Health Services,1
695,94709,Private Education and Health Services,1
696,94896,Transportation and Warehousing,1
697,94901,Administrative and Support Services,1
698,94901,Construction,1
699,94901,Real Estate and Rental and Leasing Services,1
700,94904,Food Services,1
701,94914,Real Estate and Rental and Leasing Services,1
702,94920,"Professional, Scientific, and Technical Services",1
703,94920,Real Estate and Rental and Leasing Services,1
704,94941,Multiple,1
705,94947,Construction,1
706,94952,Accommodations,1
707,94960,Construction,1
708,94965,Food Services,1
709,94965,Real Estate and Rental and Leasing Services,1
710,94966,"Arts, Entertainment, and Recreation",1
711,94978,Real Estate and Rental and Leasing Services,1
712,95003,"Arts, Entertainment, and Recreation",1
713,95103,Accommodations,1
714,95103,Food Services,1
715,95107,"Professional, Scientific, and Technical Services",1
716,95108,"Professional, Scientific, and Technical Services",1
717,95120,Accommodations,1
718,95124,Construction,1
719,95134,Transportation and Warehousing,1
720,95158,Food Services,1
721,95376,Retail Trade,1
722,95403,Retail Trade,1
723,95608,Real Estate and Rental and Leasing Services,1
724,95650,Construction,1
725,95662,Construction,1
726,95819,Real Estate and Rental and Leasing Services,1
727,95833,Manufacturing,1
728,96140,Food Services,1
729,96150,Transportation and Warehousing,1
730,96753,Retail Trade,1
731,96815,Multiple,1
732,98104,"Professional, Scientific, and Technical Services",1
733,98108,Certain Services,1
734,99999,Certain Services,1
